activity_name,rock garden,sukhna lake,zakir hussain rose garden ,terraced garden ,iskcon temple chandigarh ,topiary park,government museum and art gallery,japanese garden,international dolls museum 
rock garden,0,7,5,13,10,12,6,15,9
sukhna lake,7,0,9,14,14,15,9,13,12
zakir hussain rose garden ,5,9,0,13,9,10,4,16,5
terraced garden ,13,14,13,0,7,7,13,6,10
iskcon temple chandigarh ,10,14,9,7,0,5,8,12,5
topiary park,12,15,10,7,5,0,10,11,7
government museum and art gallery,6,9,4,13,8,10,0,15,6
japanese garden,15,13,16,6,12,11,15,0,13
international dolls museum ,9,12,5,10,5,7,6,13,0
