activity_name,dhuandhar falls,marble rocks at bhedaghat,lord shiva statue ,chausat yogini temple,madan mahal fort,bajnamath mandir ,balancing rocks,bhawartal garden ,rani durgawati fort
dhuandhar falls,0,55,40,5,32,23,30,35,32
marble rocks at bhedaghat,55,0,51,45,48,38,46,52,48
lord shiva statue ,40,51,0,34,23,28,21,16,23
chausat yogini temple,5,45,34,0,30,20,28,33,30
madan mahal fort,32,48,23,30,0,14,2,13,1
bajnamath mandir ,23,38,28,20,14,0,13,18,15
balancing rocks,30,46,21,28,2,13,0,10,2
bhawartal garden ,35,52,16,33,13,18,10,0,12
rani durgawati fort,32,48,23,30,1,15,2,12,0
